特征名称,Ridge系数,重要性(|Ridge系数|),VIF值
铺货门店数,40.06892693985411,40.06892693985411,20.0331598758244
线下地推费用,38.14289878574381,38.14289878574381,3.3243562161807807
线上曝光量,37.699712652514194,37.699712652514194,25.11651019597023
产品好评率,-33.045841406961706,33.045841406961706,1.4817638726113518
广告投放费用,24.024391243155545,24.024391243155545,20.55289288967718
货架占比,20.467420714317022,20.467420714317022,18.918379101389554
渠道覆盖率,18.19365289045055,18.19365289045055,25.520242283839686
区域消费水平,14.965237191431047,14.965237191431047,1.5891155358038096
促销折扣率,-11.468514629934168,11.468514629934168,1.4358207580102336
本品定价,-6.53265031474061,6.53265031474061,8.09334527291047
品牌知名度,5.6130199693994856,5.6130199693994856,1.4569048027997393
节假日影响,5.336830159100811,5.336830159100811,1.5935844685717655
社群触达人数,4.326516010866589,4.326516010866589,1.7879539382752412
赠品数量,-3.448087436791138,3.448087436791138,2.1732914718878193
竞品均价,-3.2318963644996987,3.2318963644996987,8.642172035859213
