最近一次消费天数,月消费频率,平均单次消费金额,单次平均到店时长,是否参与团课,会员等级,标签
66,0,83.82,28.37,否,普通,2
45,2,60.62,32.41,否,普通,2
22,4,154.71,18.41,否,普通,1
6,9,205.85,72.06,是,黄金,0
70,1,106.34,31.51,否,白银,2
45,1,76.04,38.54,否,,2
29,3,142.1,35.49,否,普通,1
27,4,102.51,47.14,否,黄金,1
7,8,160.95,71.33,是,黄金,0
33,2,87.02,42.74,否,黄金,1
81,1,35.31,29.88,否,,2
15,6,168.82,67.54,是,白银,0
42,2,119.26,24.92,否,,2
1,10,164.16,79.32,是,白银,0
31,5,103.74,55.44,否,黄金,1
50,1,110.07,35.02,否,普通,2
76,2,97.73,10.0,否,普通,2
54,1,88.62,29.95,否,,2
15,2,102.04,54.06,是,普通,1
25,3,79.26,50.52,否,白银,1
7,10,164.83,72.45,否,铂金,0
32,3,90.76,28.41,是,白银,1
56,2,97.4,31.97,否,普通,2
84,1,99.26,30.46,否,普通,2
20,2,91.3,38.98,否,普通,1
14,5,170.74,102.64,是,铂金,0
86,1,91.17,28.61,,,2
62,0,94.52,24.33,是,普通,2
22,3,151.25,49.2,否,黄金,1
59,0,100.94,25.64,是,普通,2
15,6,183.05,66.41,是,铂金,0
25,3,120.46,48.48,是,普通,1
9,5,187.2,52.68,是,黄金,0
6,12,246.02,72.09,是,白银,0
86,2,,,是,白银,2
30,5,139.94,46.45,是,黄金,1
15,8,179.53,57.31,是,白银,0
11,10,240.47,52.09,是,黄金,0
3,12,133.05,50.54,否,白银,0
11,7,191.35,68.44,否,铂金,0
6,5,191.92,69.83,是,铂金,0
7,10,106.85,91.25,否,黄金,0
70,0,66.36,18.6,,普通,2
12,9,170.18,62.75,否,黄金,0
2,11,194.45,63.24,是,黄金,0
10,7,220.71,70.12,是,,0
88,0,90.66,17.97,否,普通,2
85,1,90.12,12.02,否,普通,2
28,3,124.8,60.97,否,,1
83,1,78.16,32.02,否,普通,2
32,4,84.87,50.01,是,普通,1
28,5,121.39,55.94,否,普通,1
46,0,64.66,21.92,否,普通,2
4,9,201.84,77.54,是,黄金,0
65,2,67.73,25.58,否,普通,2
83,1,69.58,29.64,否,,2
9,10,150.3,58.77,是,白银,0
10,12,184.97,82.45,是,黄金,0
