最近一次消费天数,月消费频率,平均单次消费金额,单次平均到店时长,是否参与团课,会员等级,标签
71.0,1.0,105.01,39.41,是,白银,2
74.0,2.0,89.66,21.47,否,白银,2
25.0,4.0,121.69,34.69,否,普通,1
50.0,1.0,86.3,23.19,否,白银,2
76.0,0.0,100.65,33.65,否,普通,2
,,,,,,2
10.0,8.0,135.27,79.76,是,白银,0
40.0,0.0,76.69,32.32,否,普通,2
70.0,0.0,103.58,30.68,否,普通,2
,,,,,,2
70.0,1.0,56.34,26.65,否,普通,2
34.0,2.0,101.28,39.45,是,普通,1
36.0,0.0,71.61,34.97,否,普通,2
27.0,4.0,125.64,41.29,否,普通,1
2.0,5.0,124.12,77.3,是,钻石,0
7.0,10.0,179.96,68.52,是,钻石,0
38.0,1.0,76.93,33.03,否,白银,1
11.0,12.0,149.31,81.06,是,黄金,0
7.0,12.0,185.21,44.09,是,钻石,0
7.0,11.0,162.16,62.06,是,钻石,0
17.0,3.0,84.41,47.15,是,普通,1
10.0,6.0,203.9,52.17,是,白银,0
26.0,2.0,125.88,42.33,否,普通,1
38.0,0.0,129.93,59.14,否,普通,2
35.0,2.0,89.68,40.02,否,普通,1
35.0,2.0,86.83,19.64,是,普通,2
4.0,10.0,213.04,71.95,是,白银,0
4.0,5.0,138.24,101.93,否,白银,0
3.0,12.0,171.55,67.65,是,白银,0
8.0,5.0,123.23,50.83,否,钻石,0
47.0,2.0,95.72,43.06,否,普通,2
37.0,1.0,148.39,47.2,否,普通,1
1.0,11.0,154.61,64.25,是,白银,0
4.0,7.0,179.3,64.08,是,黄金,0
3.0,6.0,162.72,79.66,是,钻石,0
77.0,1.0,72.44,26.66,否,普通,2
7.0,5.0,174.66,62.74,是,钻石,0
52.0,2.0,86.91,23.04,是,普通,2
36.0,1.0,112.26,47.74,否,白银,1
75.0,2.0,60.73,24.09,是,普通,2
48.0,2.0,47.05,28.37,否,白银,2
22.0,2.0,88.08,43.87,否,普通,1
4.0,6.0,127.1,97.55,是,黄金,0
23.0,1.0,153.22,33.16,是,黄金,1
3.0,7.0,155.99,49.38,是,黄金,0
12.0,5.0,174.15,85.19,是,黄金,0
33.0,4.0,91.96,48.8,是,普通,1
9.0,9.0,171.58,58.55,是,钻石,0
2.0,11.0,167.88,77.2,是,白银,0
48.0,2.0,80.57,32.64,否,白银,2
12.0,9.0,164.58,92.07,是,黄金,0
21.0,2.0,100.7,23.92,否,普通,1
27.0,2.0,101.79,44.26,否,普通,1
71.0,2.0,124.65,41.77,否,白银,2
46.0,2.0,84.07,30.67,否,普通,2
9.0,10.0,154.28,87.57,是,钻石,0
8.0,12.0,157.99,52.42,否,钻石,0
89.0,2.0,69.73,30.33,否,普通,2
19.0,1.0,138.88,52.31,否,普通,1
85.0,2.0,122.32,10.0,否,普通,2
11.0,5.0,171.05,82.7,否,钻石,0
11.0,12.0,167.03,74.06,是,黄金,0
14.0,6.0,189.99,54.12,是,钻石,0
38.0,4.0,115.06,55.13,否,黄金,1
81.0,2.0,101.08,53.28,否,普通,2
15.0,3.0,112.7,60.71,否,普通,1
22.0,2.0,120.99,51.29,否,普通,1
37.0,2.0,80.56,34.59,是,白银,2
42.0,1.0,105.2,32.29,是,普通,2
12.0,11.0,184.62,64.09,是,黄金,0
3.0,5.0,100.21,50.55,是,白银,0
10.0,11.0,151.45,72.97,是,白银,0
7.0,6.0,200.61,71.38,否,黄金,0
37.0,0.0,82.84,38.04,否,普通,2
1.0,9.0,174.24,68.03,是,黄金,0
11.0,6.0,127.91,60.19,否,钻石,0
26.0,1.0,143.02,40.89,否,白银,1
26.0,4.0,119.58,43.43,否,普通,1
14.0,6.0,164.81,86.14,是,钻石,0
39.0,2.0,89.17,25.93,否,普通,1
5.0,8.0,218.12,86.59,是,钻石,0
65.0,1.0,93.71,36.19,否,普通,2
28.0,3.0,174.94,47.68,否,白银,1
81.0,1.0,86.59,22.21,否,白银,2
16.0,1.0,126.64,58.02,是,普通,1
7.0,6.0,188.07,42.53,是,白银,0
57.0,1.0,107.9,22.81,是,普通,2
39.0,2.0,98.7,24.4,否,普通,2
38.0,3.0,107.85,54.49,否,普通,1
6.0,11.0,208.87,55.45,否,白银,0
8.0,8.0,146.72,91.83,否,黄金,0
37.0,1.0,86.47,39.62,是,普通,1
3.0,8.0,194.43,34.09,是,黄金,0
81.0,1.0,86.42,27.47,否,普通,2
33.0,3.0,126.57,49.62,否,白银,1
55.0,1.0,83.86,22.46,否,普通,2
36.0,3.0,87.78,44.15,否,白银,1
1.0,7.0,182.18,67.61,否,黄金,0
2.0,9.0,157.96,73.93,是,钻石,0
79.0,1.0,114.96,27.47,否,普通,2
69.0,2.0,68.56,37.14,否,普通,2
39.0,3.0,150.28,30.33,是,白银,1
70.0,1.0,56.96,17.19,否,普通,2
82.0,1.0,54.5,35.15,否,普通,2
28.0,4.0,123.53,54.16,是,普通,1
6.0,5.0,167.06,48.64,否,白银,0
56.0,2.0,94.83,23.86,否,白银,2
14.0,9.0,141.41,77.07,是,白银,0
49.0,0.0,41.74,46.11,否,普通,2
,,,,,,1
7.0,10.0,180.98,100.79,是,黄金,0
2.0,9.0,108.08,72.47,否,钻石,0
2.0,7.0,126.89,78.81,是,钻石,0
37.0,2.0,101.91,24.7,否,普通,1
5.0,12.0,108.83,45.77,否,钻石,0
46.0,1.0,95.45,22.86,否,普通,2
5.0,11.0,171.55,76.3,否,钻石,0
36.0,2.0,141.29,38.74,否,黄金,1
60.0,0.0,105.82,44.98,否,白银,2
38.0,2.0,133.8,17.98,是,普通,1
9.0,5.0,132.55,66.98,是,黄金,0
9.0,8.0,191.48,55.36,是,黄金,0
20.0,2.0,109.66,53.42,否,普通,1
21.0,2.0,70.91,53.23,否,白银,1
4.0,7.0,91.58,47.55,是,黄金,0
4.0,12.0,125.8,53.21,是,黄金,0
5.0,6.0,168.34,72.37,是,黄金,0
10.0,9.0,190.05,87.82,是,白银,0
4.0,11.0,213.93,77.74,否,白银,0
4.0,12.0,129.55,100.73,否,黄金,0
43.0,0.0,102.79,34.43,否,普通,2
12.0,5.0,170.22,43.25,是,黄金,0
81.0,2.0,124.58,43.59,否,普通,2
11.0,6.0,127.2,75.95,是,白银,0
13.0,5.0,213.93,83.41,是,白银,0
57.0,1.0,68.35,28.49,是,普通,2
5.0,10.0,106.4,68.16,是,黄金,0
81.0,0.0,73.1,19.16,否,普通,2
76.0,1.0,87.36,17.56,否,普通,2
1.0,11.0,167.59,62.44,是,白银,0
19.0,3.0,116.83,31.33,是,普通,1
89.0,2.0,66.76,10.0,否,白银,2
25.0,3.0,140.35,12.93,否,白银,1
11.0,12.0,137.41,56.58,是,黄金,0
60.0,0.0,128.1,30.36,否,白银,2
30.0,2.0,189.47,55.22,否,白银,1
62.0,1.0,108.17,30.31,否,普通,2
5.0,10.0,101.89,80.0,是,黄金,0
67.0,2.0,76.13,38.31,否,普通,2
26.0,2.0,116.97,32.91,否,白银,1
37.0,1.0,109.69,42.35,否,白银,1
40.0,2.0,67.78,18.28,是,普通,2
,,,,,,0
2.0,7.0,150.65,85.74,是,钻石,0
12.0,7.0,171.69,71.54,否,黄金,0
57.0,0.0,85.49,17.23,否,白银,2
10.0,8.0,176.67,60.67,是,白银,0
76.0,1.0,100.59,43.63,否,普通,2
39.0,2.0,78.57,28.34,否,普通,2
35.0,2.0,111.89,45.07,否,普通,1
43.0,0.0,101.79,18.49,否,普通,2
3.0,12.0,186.59,77.36,是,黄金,0
31.0,1.0,36.74,49.59,否,普通,1
12.0,12.0,125.13,59.32,是,钻石,0
16.0,4.0,120.2,64.4,否,普通,1
33.0,1.0,75.88,41.93,是,普通,1
7.0,6.0,156.81,73.35,否,黄金,0
74.0,1.0,81.75,15.83,否,白银,2
