近30天访客数,点击率,30天销量,动销率,毛利率,客单价,库存周转天数,现货库存,投放ROI,标签
55,0.0222,4,0.1107,0.0735,68.68,79,416,0.49,3
2647,0.0934,307,0.978,0.1573,71.04,18,155,1.95,0
555,0.0731,56,0.6895,0.5016,135.35,16,147,4.73,1
63,0.0143,1,0.0257,0.0886,54.05,86,410,0.58,3
562,0.0588,87,0.5568,0.376,147.47,21,72,4.17,1
264,0.068,133,0.5937,0.5165,180.38,31,88,3.22,1
145,0.026,8,0.1018,0.7467,416.11,46,38,1.28,2
402,0.0456,106,0.5344,0.4837,147.01,32,106,4.41,1
134,0.0368,18,0.176,0.5577,359.08,59,18,0.91,2
12,0.0062,2,0.0566,0.1234,53.0,55,344,0.49,3
111,0.0444,15,0.1417,0.5557,272.41,54,38,0.96,2
2781,0.0737,325,0.9089,0.1335,48.95,13,131,2.76,0
583,0.0447,58,0.7886,0.5317,169.87,24,76,4.92,1
28,0.014,7,0.0554,0.0741,65.03,55,309,0.2,3
523,0.0471,107,0.757,0.5017,171.85,28,93,4.07,1
237,0.0434,114,0.6247,0.3583,149.3,18,82,2.86,1
1185,0.0754,355,0.9775,0.1497,47.24,19,180,1.55,0
39,0.0207,4,0.0308,0.1717,44.44,67,478,0.39,3
523,0.0533,76,0.6562,0.4378,102.06,22,132,4.74,1
1464,0.0698,343,0.9017,0.1137,62.87,20,203,3.04,0
2152,0.0807,470,0.7112,0.1466,48.45,14,221,3.12,0
281,0.0516,145,0.6545,0.4012,193.5,18,66,2.61,1
587,0.0757,149,0.7246,0.5282,189.24,17,101,3.29,1
33,0.0125,6,0.0323,0.2367,33.02,50,477,0.22,3
948,0.0738,440,0.7538,0.1519,73.63,10,113,2.12,0
32,0.015,9,0.0387,0.0535,31.38,61,196,0.44,3
1452,0.1225,327,0.8743,0.104,70.11,10,201,2.98,0
1754,0.1435,193,0.8193,0.1161,54.33,17,192,3.41,0
2912,0.0622,473,0.8666,0.1561,35.19,20,103,2.34,0
21,0.0237,5,0.1246,0.1668,59.14,83,156,0.15,3
27,0.0097,7,0.089,0.2015,63.29,80,361,0.31,3
570,0.0661,92,0.7602,0.4408,124.68,20,73,4.37,1
77,0.0063,1,0.0973,0.0865,61.13,62,258,0.17,3
51,0.0107,1,0.04,0.0789,20.96,78,169,0.19,3
1744,0.1213,356,0.8181,0.1182,55.13,21,228,3.2,0
1884,0.0813,213,0.7748,0.1485,50.71,14,88,2.25,0
557,0.0733,60,0.5156,0.535,109.81,31,134,4.76,1
32,0.0206,8,0.1035,0.2447,26.63,83,337,0.36,3
68,0.0127,4,0.1031,0.1166,26.89,67,317,0.31,3
1544,0.093,278,0.7982,0.1255,64.19,13,130,3.4,0
69,0.0116,4,0.0896,0.2621,52.53,58,431,0.37,3
60,0.042,12,0.1506,0.7237,465.08,57,15,1.11,2
2168,0.0676,404,0.9808,0.0965,77.84,12,216,2.69,0
79,0.0239,7,0.0529,0.1975,24.65,70,365,0.19,3
203,0.0586,107,0.6568,0.5028,179.82,25,99,4.0,1
69,0.0073,1,0.0314,0.2145,40.83,86,421,0.44,3
495,0.0705,139,0.5812,0.4228,131.34,21,65,2.87,1
48,0.0127,4,0.1149,0.1882,66.71,64,423,0.34,3
460,0.0687,148,0.7854,0.3737,184.95,32,113,2.8,1
212,0.0405,118,0.6363,0.5151,129.44,34,95,3.61,1
406,0.0713,141,0.5332,0.5494,187.82,28,78,4.59,1
2264,0.1199,499,0.895,0.0909,74.75,22,84,1.98,0
2679,0.0778,421,0.9732,0.1588,31.71,10,80,1.6,0
197,0.0272,25,0.3124,0.5643,450.14,59,47,1.27,2
172,0.0212,25,0.1504,0.5812,376.03,48,39,1.13,2
41,0.0197,1,0.0451,0.1177,55.4,70,493,0.41,3
954,0.0638,365,0.9652,0.1651,38.56,15,95,1.87,0
51,0.0207,4,0.1027,0.1931,27.16,59,481,0.25,3
415,0.066,119,0.7822,0.3797,150.74,28,90,3.69,1
2941,0.085,196,0.7914,0.1313,60.45,16,187,2.32,0
536,0.0635,71,0.5951,0.3572,141.74,24,97,3.06,1
340,0.0681,106,0.6944,0.4805,131.52,19,128,3.87,1
411,0.0544,112,0.6538,0.4973,188.54,17,142,3.76,1
