品类,时段,主播风格,场次在线峰值,场均观看人数,平均观看时长,点赞数,评论数,分享数,商品点击数,讲解商品数量,场均GMV,客单价,退货率,粉丝占比,付费流量占比,转化率,标签
服饰,早场,娱乐互动型,13486.0,166320.0,33.47,278390,4049.0,1723,36598,13,521039.79,109.87,0.1398,0.5382,0.3978,5.85,2
服饰,晚场,娱乐互动型,12533.0,99119.0,20.03,73304,2221.0,760,10538,11,286675.0,91.15,0.2394,,0.2636,2.779,1
美妆,晚场,专业讲解型,25539.0,188261.0,25.59,116149,2455.0,813,29927,14,623904.0,79.57,0.0891,0.5543,0.3723,9.232,2
服饰,深夜场,测评型,15002.0,102377.0,35.04,195035,5176.0,841,24547,13,550126.46,97.91,0.1882,0.5287,0.4006,5.427,2
数码,晚场,专业讲解型,4285.0,17119.0,13.29,45497,724.0,194,5951,8,74866.27,79.36,0.2732,0.693,0.1324,1.428,0
服饰,午场,测评型,52597.0,338261.0,37.47,413060,6252.0,3113,57535,14,1356219.76,134.11,0.1013,0.3644,0.4977,15.161,3
美妆,晚场,专业讲解型,27422.0,188785.0,30.63,107345,6247.0,969,37142,13,540990.87,111.28,0.2383,0.7162,0.4156,6.774,2
服饰,晚场,福利型,27202.0,134825.0,33.26,154630,2834.0,575,18183,12,511160.43,139.87,0.2087,0.473,0.4378,8.889,2
食品,晚场,专业讲解型,7718.0,28185.0,20.26,23468,801.0,483,4510,8,79196.63,65.45,0.268,0.7464,0.1176,0.84,0
食品,晚场,娱乐互动型,15408.0,80830.0,27.34,111129,1872.0,655,9512,10,111885.85,69.96,0.1503,0.5404,0.3891,2.865,1
服饰,早场,专业讲解型,4796.0,50631.0,32.68,98974,1479.0,572,6371,8,186377.46,74.45,0.2477,0.6876,0.3335,2.548,1
美妆,深夜场,娱乐互动型,27528.0,151544.0,48.34,387182,16917.0,2527,95579,18,922520.66,173.16,0.1073,0.3747,0.5141,10.577,3
食品,午场,测评型,18059.0,153221.0,22.42,136682,2382.0,803,28144,12,439265.47,102.13,0.1771,0.4693,0.4665,6.689,2
数码,晚场,娱乐互动型,26924.0,225701.0,31.65,185905,3798.0,854,17459,11,552560.21,111.02,0.1718,0.4888,0.482,6.393,2
