用户ID,注册时长,最近活跃天数,活跃频率,访问时长,使用功能数,累计消费金额,最近消费金额,消费频率,客单价,评论数,分享数,点赞数,反馈次数,客服咨询次数,投诉次数,评分均值,是否流失
1,95,17.26,2.91,2.01,8.14,265.31,14.4,1.07,26.47,5,1,16,2,3.0,0,3.93,0
2,775,15.37,8.89,15.17,6.77,131.66,4.66,1.8,13.31,12,7,48,1,,0,5.0,0
3,656,8.47,7.43,5.24,5.12,0.0,0.0,1.05,0.0,7,2,42,1,4.0,1,3.29,1
4,442,7.12,2.51,9.69,6.49,1433.01,244.52,0.0,0.0,5,3,16,2,2.0,1,3.49,1
5,436,21.4,10.42,11.31,3.67,102.43,15.66,2.61,6.79,20,8,48,0,,1,5.0,0
6,859,18.37,7.51,10.98,4.04,601.01,88.04,1.87,87.67,11,4,41,0,0.0,0,4.77,0
7,92,10.84,5.77,10.3,4.27,0.0,0.0,1.25,0.0,8,2,23,0,0.0,0,3.85,0
8,699,22.25,9.93,13.54,1.49,92.12,5.62,0.54,25.35,18,6,55,0,0.0,0,3.66,0
9,207,18.26,6.21,10.29,6.92,0.0,0.0,0.0,0.0,9,4,38,1,1.0,0,3.33,0
10,100,11.4,5.73,4.73,7.58,1138.53,10.61,1.85,85.84,7,2,30,1,1.0,0,4.3,0
11,529,1.43,4.08,18.18,3.8,300.82,57.49,3.37,12.79,7,4,17,0,1.0,0,4.65,0
12,975,2.94,7.31,18.02,5.9,332.34,42.58,1.82,21.66,8,2,51,0,2.0,0,5.0,0
13,737,7.02,7.04,18.56,4.67,1318.98,86.51,0.08,0.0,9,4,34,1,1.0,0,3.21,0
14,762,9.94,5.84,4.26,5.86,1032.21,15.76,1.85,117.83,6,7,51,3,3.0,1,3.17,1
15,719,26.29,3.75,15.29,3.94,617.26,98.24,1.54,41.46,4,2,29,3,3.0,0,4.18,1
16,787,11.84,6.14,17.56,3.43,0.0,0.0,2.55,0.0,4,3,34,3,4.0,0,5.0,0
17,516,11.57,5.62,7.31,7.3,0.0,0.0,2.27,0.0,5,2,28,1,0.0,0,4.74,0
18,134,13.41,2.33,13.56,5.07,0.0,0.0,0.0,0.0,3,1,17,0,0.0,0,4.46,0
19,840,7.58,1.97,12.8,9.24,585.09,117.55,2.2,60.76,2,2,13,1,1.0,0,3.58,0
20,454,5.72,7.27,24.55,5.29,228.5,37.86,0.5,54.16,8,4,33,0,0.0,0,3.08,0
21,503,22.01,0.0,25.05,3.35,0.0,0.0,0.04,0.0,3,0,6,0,2.0,1,3.92,1
22,375,3.32,6.33,3.51,7.65,84.04,12.03,1.39,6.17,13,5,44,5,6.0,0,4.2,1
23,188,4.89,4.56,28.46,6.46,0.0,0.0,2.05,0.0,9,3,20,0,2.0,1,3.75,0
24,927,11.27,9.2,8.01,6.65,132.54,27.07,0.0,0.0,14,9,57,2,2.0,0,4.04,0
25,783,23.81,4.52,19.38,7.58,0.0,,2.38,0.0,4,7,21,1,2.0,0,3.84,0
26,646,8.01,7.51,19.32,3.89,,39.84,2.44,34.14,7,3,57,2,2.0,1,3.36,1
27,406,7.17,4.77,7.53,4.95,338.73,27.11,1.65,27.7,5,4,19,2,1.0,1,4.66,0
28,824,10.76,6.1,16.46,4.86,2468.81,444.87,0.65,532.27,10,2,33,1,2.0,1,3.41,0
29,548,16.34,7.72,12.85,2.62,691.88,98.12,0.52,391.42,9,4,40,0,0.0,0,4.1,0
30,447,9.47,4.6,16.83,4.67,14.3,0.24,2.73,1.73,5,5,19,0,0.0,0,4.23,0
31,454,25.94,8.39,14.88,7.87,664.22,20.78,0.0,0.0,10,3,39,0,0.0,0,4.64,0
32,232,26.7,3.22,20.68,5.67,0.0,0.0,2.77,0.0,11,1,25,1,1.0,0,3.78,1
33,98,11.27,6.57,13.95,2.51,0.0,0.0,1.42,0.0,5,5,37,0,1.0,1,4.44,0
34,557,42.5,8.2,12.49,2.09,312.92,65.53,1.49,22.4,14,5,34,1,0.0,0,3.93,1
35,888,13.18,7.52,20.08,8.53,0.0,0.0,0.0,0.0,4,5,36,0,0.0,0,4.16,0
36,70,26.08,10.78,16.98,5.02,138.71,23.93,1.44,11.24,13,5,55,3,,0,5.0,0
37,859,16.01,3.82,17.89,3.91,0.0,0.0,2.27,0.0,6,1,19,1,2.0,2,3.02,1
38,828,15.79,2.21,9.51,4.65,196.44,13.64,0.13,0.0,6,3,14,2,2.0,0,4.65,1
39,281,2.56,3.21,7.23,2.25,,0.0,2.15,0.0,5,3,20,2,0.0,0,4.8,0
40,634,4.5,7.52,10.09,8.05,366.62,80.42,1.7,23.87,16,4,31,0,0.0,0,4.42,0
41,171,9.87,7.09,9.78,4.41,161.3,1.07,0.89,22.07,10,5,37,1,0.0,0,4.19,0
42,759,26.56,6.07,18.22,7.93,1386.58,182.22,2.54,66.55,7,8,18,0,1.0,1,5.0,0
43,702,16.18,2.88,19.36,5.3,156.15,22.34,0.0,0.0,5,3,12,0,0.0,1,3.89,0
