特征,权重,影响方向,OddsRatio,权重绝对值
最近活跃天数,1.4012827826632697,增加流失风险,4.060405244964712,1.4012827826632697
客服咨询次数,1.1423495430943271,增加流失风险,3.1341234794014774,1.1423495430943271
投诉次数,1.0666263704539671,增加流失风险,2.905560661432543,1.0666263704539671
评分均值,-0.9733737337162741,降低流失风险,0.3778062678289679,0.9733737337162741
反馈次数,0.7479471831512231,增加流失风险,2.1126586608384113,0.7479471831512231
访问时长,-0.7210513323828952,降低流失风险,0.4862407864601682,0.7210513323828952
活跃频率,-0.6445668625844667,降低流失风险,0.524889842306665,0.6445668625844667
最近消费金额,-0.5448556433868791,降低流失风险,0.5799254933777387,0.5448556433868791
使用功能数,-0.5170617837130624,降低流失风险,0.5962699467245524,0.5170617837130624
分享数,0.41010404403881245,增加流失风险,1.5069745686770273,0.41010404403881245
累计消费金额,0.2750609580867301,增加流失风险,1.3166109305047733,0.2750609580867301
客单价,0.2520749887116087,增加流失风险,1.28669252108159,0.2520749887116087
点赞数,-0.20246889120328093,降低流失风险,0.8167118891270624,0.20246889120328093
注册时长,0.12796595802848987,增加流失风险,1.1365143128506658,0.12796595802848987
投诉咨询比,0.10681394979949678,增加流失风险,1.1127272120988683,0.10681394979949678
互动总量,0.08360460350141612,增加流失风险,1.0871989341603268,0.08360460350141612
消费频率,-0.06735076340590902,降低流失风险,0.9348672266068953,0.06735076340590902
消费活跃比,-0.05891487094079675,降低流失风险,0.9427870243134372,0.05891487094079675
评论数,-0.03286733422628527,降低流失风险,0.967666927355455,0.03286733422628527
