用户ID,流失概率,风险等级,建议策略
654,0.9993455813213716,极高风险,立即专属客服联系，大额优惠券或专属权益
782,0.9990264041424325,极高风险,立即专属客服联系，大额优惠券或专属权益
511,0.9989388039616972,极高风险,立即专属客服联系，大额优惠券或专属权益
692,0.9988743294104083,极高风险,立即专属客服联系，大额优惠券或专属权益
479,0.9985754012844111,极高风险,立即专属客服联系，大额优惠券或专属权益
563,0.998142833118342,极高风险,立即专属客服联系，大额优惠券或专属权益
241,0.9977650759522579,极高风险,立即专属客服联系，大额优惠券或专属权益
543,0.9974992866385715,极高风险,立即专属客服联系，大额优惠券或专属权益
325,0.9968140120285834,极高风险,立即专属客服联系，大额优惠券或专属权益
187,0.995611213058183,极高风险,立即专属客服联系，大额优惠券或专属权益
375,0.9954598995806642,极高风险,立即专属客服联系，大额优惠券或专属权益
788,0.9949578590411712,极高风险,立即专属客服联系，大额优惠券或专属权益
347,0.9908241627100269,极高风险,立即专属客服联系，大额优惠券或专属权益
701,0.9906535655282148,极高风险,立即专属客服联系，大额优惠券或专属权益
424,0.9892788324621508,极高风险,立即专属客服联系，大额优惠券或专属权益
708,0.9828716857992744,极高风险,立即专属客服联系，大额优惠券或专属权益
232,0.9828447025262459,极高风险,立即专属客服联系，大额优惠券或专属权益
296,0.9817545400884965,极高风险,立即专属客服联系，大额优惠券或专属权益
451,0.9803312910650239,极高风险,立即专属客服联系，大额优惠券或专属权益
176,0.9783219866908606,极高风险,立即专属客服联系，大额优惠券或专属权益
3,0.9759221110256879,极高风险,立即专属客服联系，大额优惠券或专属权益
724,0.9749074080398337,极高风险,立即专属客服联系，大额优惠券或专属权益
230,0.9727003170880386,极高风险,立即专属客服联系，大额优惠券或专属权益
464,0.9674261718217295,极高风险,立即专属客服联系，大额优惠券或专属权益
592,0.9610573351884416,极高风险,立即专属客服联系，大额优惠券或专属权益
528,0.9588472054618983,极高风险,立即专属客服联系，大额优惠券或专属权益
680,0.9425749201824399,极高风险,立即专属客服联系，大额优惠券或专属权益
697,0.9424464712576375,极高风险,立即专属客服联系，大额优惠券或专属权益
376,0.9416963966021886,极高风险,立即专属客服联系，大额优惠券或专属权益
270,0.9375396010758873,极高风险,立即专属客服联系，大额优惠券或专属权益
190,0.9358786033031127,极高风险,立即专属客服联系，大额优惠券或专属权益
442,0.9245626866199189,极高风险,立即专属客服联系，大额优惠券或专属权益
201,0.9229113154530325,极高风险,立即专属客服联系，大额优惠券或专属权益
72,0.9217701570893907,极高风险,立即专属客服联系，大额优惠券或专属权益
429,0.9189418076176679,极高风险,立即专属客服联系，大额优惠券或专属权益
672,0.9094935110268654,极高风险,立即专属客服联系，大额优惠券或专属权益
555,0.8961564021051931,极高风险,立即专属客服联系，大额优惠券或专属权益
698,0.8915279192863554,极高风险,立即专属客服联系，大额优惠券或专属权益
433,0.864780078817701,极高风险,立即专属客服联系，大额优惠券或专属权益
615,0.8633330282868918,极高风险,立即专属客服联系，大额优惠券或专属权益
530,0.86005498155735,极高风险,立即专属客服联系，大额优惠券或专属权益
199,0.8600538809403261,极高风险,立即专属客服联系，大额优惠券或专属权益
252,0.8478890511977477,极高风险,立即专属客服联系，大额优惠券或专属权益
374,0.8414608403923312,极高风险,立即专属客服联系，大额优惠券或专属权益
21,0.8383538482341583,极高风险,立即专属客服联系，大额优惠券或专属权益
686,0.8142752998257249,极高风险,立即专属客服联系，大额优惠券或专属权益
166,0.8123924861195387,极高风险,立即专属客服联系，大额优惠券或专属权益
77,0.7989934934289581,高风险,定向推送个性化内容，中额优惠券
259,0.7985366514093207,高风险,定向推送个性化内容，中额优惠券
82,0.7943434496663181,高风险,定向推送个性化内容，中额优惠券
118,0.7781002436994249,高风险,定向推送个性化内容，中额优惠券
34,0.7776273167810955,高风险,定向推送个性化内容，中额优惠券
239,0.7607580860461063,高风险,定向推送个性化内容，中额优惠券
28,0.7403153596780204,高风险,定向推送个性化内容，中额优惠券
614,0.7325028709176209,高风险,定向推送个性化内容，中额优惠券
548,0.732264632050764,高风险,定向推送个性化内容，中额优惠券
658,0.7282067622980806,高风险,定向推送个性化内容，中额优惠券
26,0.6859484534761982,高风险,定向推送个性化内容，中额优惠券
287,0.6771241838698245,高风险,定向推送个性化内容，中额优惠券
312,0.6715631562513276,高风险,定向推送个性化内容，中额优惠券
54,0.6625737988222966,高风险,定向推送个性化内容，中额优惠券
249,0.6576273726970543,高风险,定向推送个性化内容，中额优惠券
326,0.6422044390325389,高风险,定向推送个性化内容，中额优惠券
669,0.6330952622117086,高风险,定向推送个性化内容，中额优惠券
416,0.6317371047443611,高风险,定向推送个性化内容，中额优惠券
567,0.6016415516574457,高风险,定向推送个性化内容，中额优惠券
517,0.5941875615248532,中风险,发送新功能通知，小额优惠券或任务激励
208,0.5929098785936029,中风险,发送新功能通知，小额优惠券或任务激励
62,0.5794622573341172,中风险,发送新功能通知，小额优惠券或任务激励
651,0.5678483463989096,中风险,发送新功能通知，小额优惠券或任务激励
277,0.5556991318545978,中风险,发送新功能通知，小额优惠券或任务激励
754,0.5545922935455008,中风险,发送新功能通知，小额优惠券或任务激励
66,0.5398930131132459,中风险,发送新功能通知，小额优惠券或任务激励
172,0.5387507687228487,中风险,发送新功能通知，小额优惠券或任务激励
469,0.5333130254525631,中风险,发送新功能通知，小额优惠券或任务激励
688,0.5320769784657007,中风险,发送新功能通知，小额优惠券或任务激励
762,0.5285496969284498,中风险,发送新功能通知，小额优惠券或任务激励
110,0.5047698602657393,中风险,发送新功能通知，小额优惠券或任务激励
255,0.4778521486085631,中风险,发送新功能通知，小额优惠券或任务激励
496,0.47592175382684976,中风险,发送新功能通知，小额优惠券或任务激励
366,0.44794183049952824,中风险,发送新功能通知，小额优惠券或任务激励
601,0.43768088585339643,中风险,发送新功能通知，小额优惠券或任务激励
685,0.431576675064068,中风险,发送新功能通知，小额优惠券或任务激励
271,0.4307894143678795,中风险,发送新功能通知，小额优惠券或任务激励
439,0.42938026664193074,中风险,发送新功能通知，小额优惠券或任务激励
671,0.3973927281026557,低风险,常规关怀，保持内容触达
465,0.38074168012831566,低风险,常规关怀，保持内容触达
492,0.3774271996967198,低风险,常规关怀，保持内容触达
740,0.375999828760761,低风险,常规关怀，保持内容触达
596,0.3411067708752287,低风险,常规关怀，保持内容触达
747,0.3324635192724877,低风险,常规关怀，保持内容触达
131,0.31248706954962824,低风险,常规关怀，保持内容触达
79,0.3030086336867314,低风险,常规关怀，保持内容触达
587,0.29758120430364204,低风险,常规关怀，保持内容触达
171,0.27548134895406684,低风险,常规关怀，保持内容触达
153,0.266003181772901,低风险,常规关怀，保持内容触达
552,0.26232730627702583,低风险,常规关怀，保持内容触达
604,0.2543320274928597,低风险,常规关怀，保持内容触达
594,0.24869042305441758,低风险,常规关怀，保持内容触达
150,0.24407227777632523,低风险,常规关怀，保持内容触达
792,0.23579441208620922,低风险,常规关怀，保持内容触达
627,0.21443238323237038,低风险,常规关怀，保持内容触达
336,0.20293270803732733,低风险,常规关怀，保持内容触达
272,0.19740917271850394,极低风险,持续优化体验，避免过度打扰
115,0.19553752240397715,极低风险,持续优化体验，避免过度打扰
158,0.18436327433662675,极低风险,持续优化体验，避免过度打扰
462,0.18376422842277843,极低风险,持续优化体验，避免过度打扰
745,0.180133814507986,极低风险,持续优化体验，避免过度打扰
52,0.17835434407469783,极低风险,持续优化体验，避免过度打扰
313,0.17584200384677778,极低风险,持续优化体验，避免过度打扰
168,0.16294860604385084,极低风险,持续优化体验，避免过度打扰
796,0.16025143320711888,极低风险,持续优化体验，避免过度打扰
609,0.15535080767696102,极低风险,持续优化体验，避免过度打扰
410,0.15427878078511148,极低风险,持续优化体验，避免过度打扰
140,0.15167589390949304,极低风险,持续优化体验，避免过度打扰
608,0.15073431978702517,极低风险,持续优化体验，避免过度打扰
693,0.14839877511711697,极低风险,持续优化体验，避免过度打扰
128,0.1478037839109057,极低风险,持续优化体验，避免过度打扰
212,0.141320159287926,极低风险,持续优化体验，避免过度打扰
527,0.14061109047820894,极低风险,持续优化体验，避免过度打扰
363,0.1389005961270031,极低风险,持续优化体验，避免过度打扰
486,0.13554718921831999,极低风险,持续优化体验，避免过度打扰
733,0.1337237530706722,极低风险,持续优化体验，避免过度打扰
607,0.1313322990700616,极低风险,持续优化体验，避免过度打扰
734,0.1225852529849559,极低风险,持续优化体验，避免过度打扰
383,0.12255506299022098,极低风险,持续优化体验，避免过度打扰
225,0.11269354564126662,极低风险,持续优化体验，避免过度打扰
695,0.11215149706734513,极低风险,持续优化体验，避免过度打扰
516,0.11156113205949453,极低风险,持续优化体验，避免过度打扰
787,0.10870604658802807,极低风险,持续优化体验，避免过度打扰
742,0.10846305098525916,极低风险,持续优化体验，避免过度打扰
289,0.0937008946766594,极低风险,持续优化体验，避免过度打扰
583,0.09213444211889812,极低风险,持续优化体验，避免过度打扰
301,0.09211086234019353,极低风险,持续优化体验，避免过度打扰
19,0.0897928196615265,极低风险,持续优化体验，避免过度打扰
295,0.08919479201354183,极低风险,持续优化体验，避免过度打扰
359,0.08843352729977408,极低风险,持续优化体验，避免过度打扰
690,0.08651781659205557,极低风险,持续优化体验，避免过度打扰
288,0.08519157103343131,极低风险,持续优化体验，避免过度打扰
626,0.07478226478673877,极低风险,持续优化体验，避免过度打扰
513,0.07464498025414605,极低风险,持续优化体验，避免过度打扰
645,0.07426137352997911,极低风险,持续优化体验，避免过度打扰
323,0.0708473486066009,极低风险,持续优化体验，避免过度打扰
640,0.06767363968583014,极低风险,持续优化体验，避免过度打扰
648,0.06660888542868484,极低风险,持续优化体验，避免过度打扰
39,0.06495046945266286,极低风险,持续优化体验，避免过度打扰
536,0.06446345116907748,极低风险,持续优化体验，避免过度打扰
750,0.06007008704490134,极低风险,持续优化体验，避免过度打扰
46,0.05935851243286694,极低风险,持续优化体验，避免过度打扰
179,0.056142145956360204,极低风险,持续优化体验，避免过度打扰
569,0.055675855292880105,极低风险,持续优化体验，避免过度打扰
656,0.05554100691797367,极低风险,持续优化体验，避免过度打扰
211,0.04973513424154721,极低风险,持续优化体验，避免过度打扰
94,0.04921355116034753,极低风险,持续优化体验，避免过度打扰
646,0.04875749520387153,极低风险,持续优化体验，避免过度打扰
213,0.048208712253328886,极低风险,持续优化体验，避免过度打扰
138,0.048147452801540765,极低风险,持续优化体验，避免过度打扰
661,0.0460042752026399,极低风险,持续优化体验，避免过度打扰
139,0.04593711567800276,极低风险,持续优化体验，避免过度打扰
165,0.04397699105299772,极低风险,持续优化体验，避免过度打扰
29,0.042948585262492345,极低风险,持续优化体验，避免过度打扰
419,0.04185731475587278,极低风险,持续优化体验，避免过度打扰
