用户ID,流失概率,风险等级,建议策略
654,0.9993455813213716,极高风险,立即专属客服联系，大额优惠券或专属权益
782,0.9990264041424325,极高风险,立即专属客服联系，大额优惠券或专属权益
511,0.9989388039616972,极高风险,立即专属客服联系，大额优惠券或专属权益
692,0.9988743294104083,极高风险,立即专属客服联系，大额优惠券或专属权益
479,0.9985754012844111,极高风险,立即专属客服联系，大额优惠券或专属权益
563,0.998142833118342,极高风险,立即专属客服联系，大额优惠券或专属权益
241,0.9977650759522579,极高风险,立即专属客服联系，大额优惠券或专属权益
543,0.9974992866385715,极高风险,立即专属客服联系，大额优惠券或专属权益
325,0.9968140120285834,极高风险,立即专属客服联系，大额优惠券或专属权益
187,0.995611213058183,极高风险,立即专属客服联系，大额优惠券或专属权益
375,0.9954598995806642,极高风险,立即专属客服联系，大额优惠券或专属权益
788,0.9949578590411712,极高风险,立即专属客服联系，大额优惠券或专属权益
347,0.9908241627100269,极高风险,立即专属客服联系，大额优惠券或专属权益
701,0.9906535655282148,极高风险,立即专属客服联系，大额优惠券或专属权益
424,0.9892788324621508,极高风险,立即专属客服联系，大额优惠券或专属权益
708,0.9828716857992744,极高风险,立即专属客服联系，大额优惠券或专属权益
232,0.9828447025262459,极高风险,立即专属客服联系，大额优惠券或专属权益
296,0.9817545400884965,极高风险,立即专属客服联系，大额优惠券或专属权益
451,0.9803312910650239,极高风险,立即专属客服联系，大额优惠券或专属权益
176,0.9783219866908606,极高风险,立即专属客服联系，大额优惠券或专属权益
3,0.9759221110256879,极高风险,立即专属客服联系，大额优惠券或专属权益
724,0.9749074080398337,极高风险,立即专属客服联系，大额优惠券或专属权益
230,0.9727003170880386,极高风险,立即专属客服联系，大额优惠券或专属权益
464,0.9674261718217295,极高风险,立即专属客服联系，大额优惠券或专属权益
592,0.9610573351884416,极高风险,立即专属客服联系，大额优惠券或专属权益
528,0.9588472054618983,极高风险,立即专属客服联系，大额优惠券或专属权益
680,0.9425749201824399,极高风险,立即专属客服联系，大额优惠券或专属权益
697,0.9424464712576375,极高风险,立即专属客服联系，大额优惠券或专属权益
376,0.9416963966021886,极高风险,立即专属客服联系，大额优惠券或专属权益
270,0.9375396010758873,极高风险,立即专属客服联系，大额优惠券或专属权益
