特征,权重,影响方向,sklearn权重
最近活跃天数,1.4012827826632697,增加流失风险,2.4500421182309924
客服咨询次数,1.1423495430943271,增加流失风险,1.615697129588251
投诉次数,1.0666263704539671,增加流失风险,2.25431818197482
评分均值,-0.9733737337162741,降低流失风险,-1.7358949910235906
反馈次数,0.7479471831512231,增加流失风险,1.302843531150235
访问时长,-0.7210513323828952,降低流失风险,-1.3173966927318315
活跃频率,-0.6445668625844667,降低流失风险,-1.2016955176254034
最近消费金额,-0.5448556433868791,降低流失风险,-1.8428696075442543
使用功能数,-0.5170617837130624,降低流失风险,-0.9200060058958105
分享数,0.41010404403881245,增加流失风险,0.8298368538703594
累计消费金额,0.2750609580867301,增加流失风险,1.1639376853701715
客单价,0.2520749887116087,增加流失风险,0.5710717160706531
点赞数,-0.20246889120328093,降低流失风险,-0.41796740199254895
注册时长,0.12796595802848987,增加流失风险,0.14351621163747771
投诉咨询比,0.10681394979949678,增加流失风险,-0.2806776807227228
互动总量,0.08360460350141612,增加流失风险,0.22636312224220356
消费频率,-0.06735076340590902,降低流失风险,-0.1064713397134856
消费活跃比,-0.05891487094079675,降低流失风险,-0.10573677629908847
评论数,-0.03286733422628527,降低流失风险,0.0839400761485762
